0,[0, 12, 6],[0, 0, 6],[174, 161, 97]
1,[12, 6, 12],[0, 6, 12],[154, 144, 116]
2,[0, 12, 6],[12, 12, 18],[188, 151, 84]
3,[12, 6, 12],[12, 18, 24],[142, 195, 16]
4,[0, 12, 6],[24, 24, 31],[125, 167, 106]
5,[12, 6, 12],[24, 31, 37],[126, 80, 132]
6,[0, 12, 6],[37, 37, 43],[231, 222, 206]
7,[12, 6, 12],[37, 43, 49],[181, 183, 172]
8,[0, 12, 6],[49, 49, 55],[201, 202, 193]
9,[12, 6, 12],[49, 55, 62],[223, 221, 139]
10,[0, 12, 6],[62, 62, 68],[234, 213, 213]
11,[12, 6, 12],[61, 68, 74],[198, 34, 47]
12,[0, 12, 6],[74, 74, 80],[197, 179, 173]
13,[12, 6, 12],[74, 80, 86],[136, 110, 75]
14,[0, 12, 6],[86, 86, 92],[84, 92, 100]
15,[12, 6, 12],[86, 93, 99],[117, 101, 151]
16,[0, 12, 6],[99, 99, 105],[222, 222, 210]
17,[12, 6, 12],[99, 105, 111],[183, 211, 169]
18,[0, 12, 6],[111, 111, 117],[244, 213, 191]
19,[12, 6, 12],[111, 117, 123],[195, 180, 137]
20,[0, 12, 6],[124, 124, 130],[177, 163, 84]
21,[12, 6, 12],[124, 130, 136],[178, 62, 96]
22,[0, 12, 6],[136, 136, 142],[84, 134, 133]
23,[12, 6, 12],[136, 142, 148],[180, 96, 102]
24,[0, 12, 6],[148, 148, 154],[171, 53, 76]
25,[12, 6, 12],[148, 155, 161],[197, 179, 173]
26,[0, 12, 6],[161, 161, 167],[243, 180, 178]
27,[12, 6, 12],[161, 167, 173],[211, 139, 140]
28,[0, 12, 6],[173, 173, 179],[193, 179, 178]
29,[12, 6, 12],[173, 179, 185],[226, 209, 172]
30,[0, 12, 6],[186, 186, 192],[191, 159, 100]
31,[12, 6, 12],[186, 192, 198],[221, 200, 139]
32,[0, 12, 6],[198, 198, 204],[219, 209, 166]
33,[12, 6, 12],[198, 204, 210],[182, 67, 64]
34,[0, 12, 6],[210, 210, 216],[219, 104, 111]
35,[12, 6, 12],[210, 217, 223],[218, 156, 126]
36,[0, 12, 6],[223, 223, 229],[177, 52, 79]
37,[12, 6, 12],[223, 229, 235],[177, 151, 104]
38,[0, 12, 6],[235, 235, 241],[215, 121, 173]
39,[12, 6, 12],[235, 241, 247],[183, 52, 58]
40,[0, 12, 6],[248, 248, 254],[179, 34, 48]
41,[12, 6, 12],[248, 254, 260],[43, 70, 86]
42,[0, 12, 6],[260, 260, 266],[206, 73, 101]
43,[12, 6, 12],[260, 266, 272],[160, 42, 77]
44,[0, 12, 6],[272, 272, 279],[68, 72, 77]
45,[12, 6, 12],[272, 279, 285],[171, 36, 63]
46,[0, 12, 6],[285, 285, 291],[186, 74, 73]
47,[12, 6, 12],[285, 291, 297],[84, 92, 100]
48,[0, 12, 6],[297, 297, 303],[211, 56, 78]
